X,Y,driver,trip,time,speed,latitude,longitude,GpsHeading,Distance,relative X,relative Y
277148.1743,4686471.876,229,219,298770,0,42.298617,-83.7034553,24.61261,55.01802,0,0
277148.1736,4686471.854,229,219,298780,0,42.2986168,-83.7034553,24.61261,55.01802,-0.000705776,-0.02220929
277148.1736,4686471.854,229,219,298790,0,42.2986168,-83.7034553,24.61261,55.01802,-0.000705776,-0.02220929
277148.1732,4686471.843,229,219,298800,0,42.2986167,-83.7034553,24.61261,55.01802,-0.001058665,-0.03331394
277148.1732,4686471.843,229,219,298810,0,42.2986167,-83.7034553,24.61261,55.01802,-0.001058665,-0.03331394
277148.1732,4686471.843,229,219,298820,0,42.2986167,-83.7034553,24.61261,55.01802,-0.001058665,-0.03331394
277148.1808,4686471.821,229,219,298830,0,42.2986165,-83.7034552,24.61261,55.01802,0.006479366,-0.05578521
277148.1808,4686471.821,229,219,298840,0,42.2986165,-83.7034552,24.61261,55.01802,0.006479366,-0.05578521
277148.1801,4686471.798,229,219,298850,0,42.2986163,-83.7034552,24.44347,55.01802,0.005773589,-0.0779945
277148.1801,4686471.798,229,219,298860,0,42.2986163,-83.7034552,24.44347,55.01802,0.005773589,-0.0779945
277148.1801,4686471.798,229,219,298870,0,42.2986163,-83.7034552,24.44347,55.01802,0.005773589,-0.0779945
277148.1876,4686471.776,229,219,298880,0,42.2986161,-83.7034551,24.44347,55.01802,0.013311618,-0.10046577
277148.1876,4686471.776,229,219,298890,0,42.2986161,-83.7034551,24.44347,55.01802,0.013311618,-0.10046577
277148.1869,4686471.754,229,219,298900,0,42.2986159,-83.7034551,28.51277,55.01802,0.012605841,-0.122675071
277148.1869,4686471.754,229,219,298910,0,42.2986159,-83.7034551,28.51277,55.01802,0.012605841,-0.122675071
277148.1869,4686471.754,229,219,298920,0,42.2986159,-83.7034551,28.51277,55.01802,0.012605841,-0.122675071
277148.1944,4686471.731,229,219,298930,0,42.2986157,-83.703455,28.51277,55.01802,0.020143871,-0.14514634
277148.1944,4686471.731,229,219,298940,0,42.2986157,-83.703455,28.51277,55.01802,0.020143871,-0.14514634
277148.202,4686471.709,229,219,298950,0,42.2986155,-83.7034549,31.89248,55.01802,0.027681902,-0.167617611
277148.202,4686471.709,229,219,298960,0.175,42.2986155,-83.7034549,31.89248,55.02064,0.027681902,-0.167617611
277148.202,4686471.709,229,219,298970,0.2527778,42.2986155,-83.7034549,31.89248,55.04175,0.027681902,-0.167617611
277148.1927,4686471.676,229,219,298980,0.3111112,42.2986152,-83.703455,41.00137,55.07005,0.01837943,-0.20066958
277148.1927,4686471.676,229,219,298990,0.3555556,42.2986152,-83.703455,41.00137,55.10396,0.01837943,-0.20066958
277148.1906,4686471.609,229,219,299000,0.4305556,42.2986146,-83.703455,49.64308,55.14322,0.016262099,-0.267297461
277148.1906,4686471.609,229,219,299010,0.4777778,42.2986146,-83.703455,49.64308,55.18835,0.016262099,-0.267297461
277148.1906,4686471.609,229,219,299020,0.5444445,42.2986146,-83.703455,49.64308,55.23938,0.016262099,-0.267297461
