Driver,Trip,Time,ScanIndex,TargetId,X,Y,RangeRate,SNR
229,219,299778,149845,0,1.1,4.19,-1.9,20
229,219,299780,149846,0,1.03,4.18,-1.75,40
229,219,299782,149847,0,0.96,4.17,-0.85,40
229,219,299784,149848,0,0.96,4.18,-0.4,22
229,219,299786,149849,0,1.04,4.2,-0.15,20
229,219,299788,149850,0,0.97,4.19,-1.3,16
229,219,299790,149851,0,0.96,4.17,-3.9,40
229,219,299792,149852,0,0.89,4.14,-3.1,12
229,219,299794,149853,0,0.82,4.13,-0.75,40
229,219,299796,149854,0,0.82,4.1,-1.05,40
229,219,299798,149855,0,0.75,4.09,-0.9,40
229,219,300170,150041,0,3.58,3.36,-5.65,20
229,219,300172,150042,0,3.61,3.38,-4.2,18
229,219,300174,150043,0,3.61,3.48,-1.75,18
229,219,300176,150044,0,3.63,3.51,4.5,40
229,219,300178,150045,0,3.64,3.63,5.25,16
229,219,300180,150046,0,3.62,3.72,6.4,40
229,219,300182,150047,0,3.61,3.82,5.1,18
229,219,300184,150048,0,3.55,3.88,3.7,14
229,219,300186,150049,0,3.54,3.88,2.6,16
229,219,300188,150050,0,3.48,3.93,2,20
229,219,300190,150051,0,3.47,3.92,0.95,20
229,219,300192,150052,0,3.43,3.88,-0.6,14
229,219,300194,150053,0,3.41,3.85,-4.35,40
229,219,300196,150054,0,3.34,3.89,-0.85,40
229,219,300198,150055,0,3.33,3.88,-0.85,14
229,219,300200,150056,0,3.3,3.85,-1.7,18
229,219,300202,150057,0,3.28,3.83,-3.7,40
229,219,300204,150058,0,3.31,3.74,-3.65,22
229,219,300206,150059,0,3.31,3.74,-2.8,24
229,219,300208,150060,0,3.25,3.8,-2,24
229,219,300210,150061,0,3.24,3.79,-2,24
229,219,300212,150062,0,3.24,3.79,-1.55,24
229,219,300214,150063,0,3.25,3.79,-1.2,22
229,219,300216,150064,0,3.18,3.83,-1.5,22
229,219,300218,150065,0,3.18,3.83,-0.85,22
229,219,300220,150066,0,3.18,3.83,-0.7,20
229,219,300222,150067,0,3.11,3.87,-0.7,12
229,219,300224,150068,0,3.1,3.85,-2.15,20
229,219,300226,150069,0,3.09,3.84,-5.15,40
229,219,300228,150070,0,3.03,3.89,-3.5,22
229,219,300230,150071,0,3.02,3.88,-2.85,22
229,219,300232,150072,0,2.95,3.91,-2.9,16
229,219,300234,150073,0,2.94,3.9,-2.35,18
229,219,300236,150074,0,2.93,3.89,-1.75,16
229,219,300238,150075,0,2.91,3.86,-2.5,18
229,219,300240,150076,0,2.84,3.89,-4,40
229,219,300240,150076,1,2.96,3.57,-0.95,20
229,219,300242,150077,0,2.83,3.89,-2.85,24
229,219,300242,150077,1,2.96,3.57,-0.9,22
229,219,300244,150078,0,2.82,3.87,-2.3,22
229,219,300244,150078,1,2.92,3.63,-0.4,22
229,219,300246,150079,0,2.82,3.87,-1.55,24
229,219,300246,150079,1,2.92,3.64,-0.35,22
229,219,300248,150080,0,2.82,3.87,-1.25,20
229,219,300248,150080,1,2.87,3.68,-0.45,22
229,219,300250,150081,0,2.76,3.92,-0.55,20
229,219,300250,150081,1,2.81,3.74,-0.25,24
229,219,300252,150082,0,2.77,3.93,-0.25,22
229,219,300252,150082,1,2.81,3.72,-0.9,22
229,219,300254,150083,0,2.78,3.94,-0.05,24
229,219,300254,150083,1,2.73,3.75,-1,20
229,219,300256,150084,0,2.72,3.98,-0.09999999,24
229,219,300256,150084,1,2.72,3.73,-1.75,24
229,219,300258,150085,0,2.71,3.97,-0.45,26
229,219,300258,150085,1,2.63,3.73,-2.6,18
229,219,300260,150086,0,2.64,4.01,-0.4,24
229,219,300260,150086,1,2.62,3.71,-4.2,40
229,219,300262,150087,0,2.64,4.01,-0.35,24
229,219,300262,150087,1,2.54,3.72,-3.65,14
229,219,300264,150088,0,2.57,4.04,-0.85,22
229,219,300264,150088,1,2.54,3.72,-2.3,24
229,219,300266,150089,0,2.56,4.02,-0.85,24
229,219,300266,150089,1,2.48,3.76,-1.45,26
229,219,300268,150090,0,2.55,4.01,-0.75,22
229,219,300268,150090,1,2.48,3.76,-1.15,24
229,219,300270,150091,0,2.54,3.99,-0.8,22
229,219,300270,150091,1,2.48,3.75,-0.95,24
229,219,300272,150092,0,2.53,3.97,-1.35,22
229,219,300272,150092,1,2.47,3.74,-1.05,24
229,219,300274,150093,0,2.52,3.96,-1.15,22
229,219,300274,150093,1,2.41,3.77,-0.85,20
229,219,300276,150094,0,2.56,3.88,-2,18
229,219,300276,150094,1,2.39,3.75,-1.75,20
229,219,300278,150095,0,2.53,3.84,-3.55,20
229,219,300278,150095,1,2.38,3.73,-3.65,40
229,219,300280,150096,0,2.57,3.76,-6.7,40
229,219,300280,150096,1,2.37,3.71,-3,26
229,219,300282,150097,0,2.54,3.72,-6.25,18
229,219,300282,150097,1,2.3,3.74,-2.55,26
229,219,300284,150098,0,2.58,3.65,-5,20
229,219,300284,150098,1,2.3,3.73,-2.15,24
229,219,300286,150099,0,2.57,3.64,-3.45,18
229,219,300286,150099,1,2.29,3.72,-1.95,22
229,219,300288,150100,0,2.62,3.59,0.4,40
229,219,300288,150100,1,2.23,3.74,-1.3,40
229,219,300290,150101,0,2.61,3.58,-0.85,18
229,219,300290,150101,1,2.23,3.73,-1.05,40
229,219,300292,150102,0,2.61,3.58,-0.65,12
229,219,300292,150102,1,2.16,3.75,-1,40
229,219,300294,150103,0,2.6,3.57,-1.25,16
229,219,300296,150104,0,2.58,3.55,-2.2,22
229,219,300298,150105,0,2.57,3.53,-2.15,22
229,219,300300,150106,0,2.51,3.56,-1.8,22
229,219,300302,150107,0,2.51,3.55,-1.6,22
