trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,323190,2,0.4449398319762508,2.701264249554446,-3.85,22.0,277147.195,4686413.794,1.208333,288.522,277147.195,4686413.794
219,323200,1,0.4741630244437881,2.4575029069678664,-1.05,38.0,277147.21,4686414.004,1.269445,292.9748,277147.195,4686413.794
219,323200,2,0.2879092125470687,2.84558732762134,-1.75,26.0,277147.21,4686414.004,1.269445,292.9748,277147.195,4686413.794
219,323210,1,0.40301191586511564,2.39475324762197,-0.4,38.0,277147.21,4686414.004,1.383333,292.9748,277147.195,4686413.794
219,323210,2,0.3152320487541727,2.7811399644355608,-2.15,26.0,277147.21,4686414.004,1.383333,292.9748,277147.195,4686413.794
219,323220,1,-1.8350568783406251,1.7181001443285875,0.0,38.0,277147.1944,4686414.294,1.488889,357.2899,277147.195,4686413.794
219,323220,2,-2.0082360037928537,1.8664544179697646,-2.3,32.0,277147.1944,4686414.294,1.488889,357.2899,277147.195,4686413.794
219,323230,1,-1.8497739471506558,1.618684814094059,-1.35,38.0,277147.1944,4686414.294,1.530556,357.2899,277147.195,4686413.794
219,323230,2,-1.8769629255887257,1.8902741354074974,-1.45,28.0,277147.1944,4686414.294,1.530556,357.2899,277147.195,4686413.794
219,323240,0,-2.2444823931460296,3.0089025102337357,4.3,40.0,277147.1944,4686414.294,1.575,357.2899,277147.195,4686413.794
219,323240,1,-1.834524569292709,1.5178510078833154,-0.7,36.0,277147.1944,4686414.294,1.575,357.2899,277147.195,4686413.794
219,323240,2,-1.824654721181739,1.9378540865604459,-0.45,30.0,277147.1944,4686414.294,1.575,357.2899,277147.195,4686413.794
219,323250,0,-2.2702720582618787,3.368628153949394,1.35,40.0,277147.1978,4686414.661,1.569445,357.7389,277147.195,4686413.794
219,323250,1,-1.7922397956292837,1.7885379173229023,-1.15,38.0,277147.1978,4686414.661,1.569445,357.7389,277147.195,4686413.794
219,323250,2,-1.8632320920156056,2.271715000651361,1.15,36.0,277147.1978,4686414.661,1.569445,357.7389,277147.195,4686413.794
219,323260,1,-1.8337867879825838,1.7501471967462496,3.0,38.0,277147.1978,4686414.661,1.625,357.7389,277147.195,4686413.794
219,323260,2,-1.85363441187144,2.2613282525630383,-0.09999999,34.0,277147.1978,4686414.661,1.625,357.7389,277147.195,4686413.794
219,323270,1,-1.846146205931313,1.690588446020863,0.35,38.0,277147.1978,4686414.661,1.641667,357.7389,277147.195,4686413.794
219,323270,2,-1.8871618599688997,2.1725819274330815,-1.05,36.0,277147.1978,4686414.661,1.641667,357.7389,277147.195,4686413.794
219,323280,1,-1.8911655175126483,1.972271422179859,-0.2,38.0,277147.1954,4686415.105,1.622222,1.78895,277147.195,4686413.794
219,323280,2,-1.9826771835498715,2.3395936444576453,-1.2,38.0,277147.1954,4686415.105,1.622222,1.78895,277147.195,4686413.794
219,323290,1,-1.8602435996806925,1.9432225840345252,-0.45,38.0,277147.1954,4686415.105,1.611111,1.78895,277147.195,4686413.794
219,323290,2,-1.9876774303817606,2.1793594485704366,-0.75,32.0,277147.1954,4686415.105,1.611111,1.78895,277147.195,4686413.794
219,323300,1,-1.792021432822493,2.510834268432645,-1.0,40.0,277147.1769,4686415.562,1.6,357.0324,277147.195,4686413.794
219,323300,2,-1.866219314469327,2.624828454069995,-2.8,38.0,277147.1769,4686415.562,1.6,357.0324,277147.195,4686413.794
219,323310,1,-1.8639984101967257,2.4745118961523396,3.9,40.0,277147.1769,4686415.562,1.644445,357.0324,277147.195,4686413.794
219,323310,2,-1.7677564996941866,2.3994286446056643,-3.0,36.0,277147.1769,4686415.562,1.644445,357.0324,277147.195,4686413.794
219,323320,0,-2.114931139272969,3.4287826991628627,3.4,40.0,277147.1769,4686415.562,1.686111,357.0324,277147.195,4686413.794
219,323320,2,-1.813915406853892,2.281660417609494,1.8,38.0,277147.1769,4686415.562,1.686111,357.0324,277147.195,4686413.794
219,323330,0,-2.076126539190183,3.9271922656011453,4.8,30.0,277147.1581,4686416.007,1.711111,356.8622,277147.195,4686413.794
219,323330,2,-1.8050582383361216,2.6604555225198947,-0.35,38.0,277147.1581,4686416.007,1.711111,356.8622,277147.195,4686413.794
219,323340,0,-2.2041572677665746,3.783985657722182,0.35,38.0,277147.1581,4686416.007,1.713889,356.8622,277147.195,4686413.794
219,323340,1,-1.9664053037713427,4.8325437169713625,-2.05,20.0,277147.1581,4686416.007,1.713889,356.8622,277147.195,4686413.794
219,323340,2,-1.844998269350768,2.6626450253285476,1.6,38.0,277147.1581,4686416.007,1.713889,356.8622,277147.195,4686413.794
219,323350,0,-2.3089733271428,3.9756779484844325,-0.65,38.0,277147.1396,4686416.463,1.775,358.8202,277147.195,4686413.794
219,323350,2,-1.9184147882424374,3.027435348886622,5.65,40.0,277147.1396,4686416.463,1.775,358.8202,277147.195,4686413.794
219,323360,0,-2.3222655974943383,3.815917767122174,-0.9,36.0,277147.1396,4686416.463,1.838889,358.8202,277147.195,4686413.794
219,323360,2,-1.8988308269359369,3.0070277900040523,0.85,38.0,277147.1396,4686416.463,1.838889,358.8202,277147.195,4686413.794
219,323370,0,-2.325354088404593,3.6659495664131656,-0.75,34.0,277147.1396,4686416.463,1.902778,358.8202,277147.195,4686413.794
219,323370,2,-1.929236265865772,2.9876497280915695,4.0,38.0,277147.1396,4686416.463,1.902778,358.8202,277147.195,4686413.794
219,323380,0,-2.333779586060217,4.118818052902936,-0.6,34.0,277147.0977,4686416.965,1.888889,356.5121,277147.195,4686413.794
219,323380,1,-1.8085455204029948,4.517602676820644,0.5,40.0,277147.0977,4686416.965,1.888889,356.5121,277147.195,4686413.794
219,323380,2,-1.9685896570374801,3.535520259541459,-0.2,36.0,277147.0977,4686416.965,1.888889,356.5121,277147.195,4686413.794
219,323390,0,-2.3655491485380495,4.0906987552593765,2.8,40.0,277147.0977,4686416.965,1.933334,356.5121,277147.195,4686413.794
219,323390,1,-1.891439221260079,4.472562313165179,-0.3,38.0,277147.0977,4686416.965,1.933334,356.5121,277147.195,4686413.794
219,323390,2,-1.9716315443993737,3.485612876106968,0.8,40.0,277147.0977,4686416.965,1.933334,356.5121,277147.195,4686413.794
219,323400,0,-2.454437905569669,4.483054541933584,-0.35,28.0,277147.0384,4686417.434,1.963889,358.4354,277147.195,4686413.794
219,323400,1,-1.9710673377032029,4.599900141424749,-3.2,38.0,277147.0384,4686417.434,1.963889,358.4354,277147.195,4686413.794
219,323400,2,-2.0926152251553143,5.64360800814605,-6.75,18.0,277147.0384,4686417.434,1.963889,358.4354,277147.195,4686413.794
219,323410,1,-1.977074223812033,4.379982162807095,-0.85,38.0,277147.0384,4686417.434,1.997222,358.4354,277147.195,4686413.794
219,323410,2,-1.7254835729841786,5.53354280031863,-7.1,40.0,277147.0384,4686417.434,1.997222,358.4354,277147.195,4686413.794
219,323420,1,-2.139198894118994,4.304380633207096,5.6,40.0,277147.0384,4686417.434,1.975,358.4354,277147.195,4686413.794
219,323430,1,-2.3120273392101205,4.69297895702928,1.85,36.0,277147.0055,4686417.957,1.972222,0.27067,277147.195,4686413.794
219,323440,1,-2.331601950180595,4.602885479988183,-4.15,38.0,277147.0055,4686417.957,1.958333,0.27067,277147.195,4686413.794
219,323450,0,-2.014476607925621,5.293759543005376,-0.09999999,38.0,277146.9963,4686418.446,2.075,358.6875,277147.195,4686413.794
219,323450,1,-2.219463332577486,5.078398351709217,-3.7,40.0,277146.9963,4686418.446,2.075,358.6875,277147.195,4686413.794
219,323450,2,-2.211742499225158,6.288539000035827,-0.15,28.0,277146.9963,4686418.446,2.075,358.6875,277147.195,4686413.794
219,323460,0,-2.0356166327957506,5.244230770069938,0.95,36.0,277146.9963,4686418.446,2.102778,358.6875,277147.195,4686413.794
219,323460,2,-2.111539681202595,6.296245832091681,-4.35,28.0,277146.9963,4686418.446,2.102778,358.6875,277147.195,4686413.794
219,323470,0,-1.9990629438139151,5.09335390696025,0.8,36.0,277146.9963,4686418.446,2.133334,358.6875,277147.195,4686413.794
219,323470,1,-2.2086027544795677,7.298732121177986,0.2,22.0,277146.9963,4686418.446,2.133334,358.6875,277147.195,4686413.794
219,323470,2,-2.0288120171647703,6.414381912959657,-0.55,32.0,277146.9963,4686418.446,2.133334,358.6875,277147.195,4686413.794
219,323480,0,-2.030628318416801,5.53568861898428,-3.2,38.0,277146.9713,4686418.959,2.15,357.7669,277147.195,4686413.794
219,323480,1,-2.074027113479122,7.759068151270016,-0.5,30.0,277146.9713,4686418.959,2.15,357.7669,277147.195,4686413.794
219,323490,0,-2.0606055356030133,5.536857571408756,-3.5,38.0,277146.9713,4686418.959,2.155556,357.7669,277147.195,4686413.794
219,323490,1,-2.2162586985303943,7.704568828211818,1.15,24.0,277146.9713,4686418.959,2.155556,357.7669,277147.195,4686413.794
219,323500,0,-2.011565451022935,5.969118560957667,-0.65,32.0,277146.9631,4686419.481,2.191667,359.9318,277147.195,4686413.794
219,323500,1,-2.3690774391684486,8.059545593487684,-0.8,30.0,277146.9631,4686419.481,2.191667,359.9318,277147.195,4686413.794
219,323510,0,-2.1815415243054312,5.989320900214874,10.55,40.0,277146.9631,4686419.481,2.222223,359.9318,277147.195,4686413.794
219,323510,1,-2.469184496610211,7.969664688672747,5.1,40.0,277146.9631,4686419.481,2.222223,359.9318,277147.195,4686413.794
219,323520,1,-2.4392321304336924,7.929629007581653,0.9,22.0,277146.9631,4686419.481,2.263889,359.9318,277147.195,4686413.794
219,323530,1,-1.1203817989126748,9.098882404884812,-1.6,40.0,277146.9478,4686420.038,2.258334,357.8433,277147.195,4686413.794
219,323550,0,-2.161498066722759,7.4212465239881915,-0.2,38.0,277146.9271,4686420.683,2.313889,2.36705,277147.195,4686413.794
219,323560,0,-2.258934677503245,7.357167612639668,2.15,38.0,277146.9271,4686420.683,2.319445,2.36705,277147.195,4686413.794
219,323560,1,-2.184468239690763,8.461185162155761,-1.8,36.0,277146.9271,4686420.683,2.319445,2.36705,277147.195,4686413.794
219,323570,0,-2.348031863425741,7.333467581823397,1.5,38.0,277146.9271,4686420.683,2.35,2.36705,277147.195,4686413.794
219,323570,1,-2.2307084811632576,8.369196901662558,-5.65,40.0,277146.9271,4686420.683,2.35,2.36705,277147.195,4686413.794
219,323580,0,-2.2399804654547495,7.858830565656194,-2.0,36.0,277146.9547,4686421.293,2.352778,1.44089,277147.195,4686413.794
219,323580,1,-2.1471756834802425,8.941506543242593,-0.2,38.0,277146.9547,4686421.293,2.352778,1.44089,277147.195,4686413.794
219,323580,2,-2.038534968255626,7.803878662520832,0.15,36.0,277146.9547,4686421.293,2.352778,1.44089,277147.195,4686413.794
219,323590,0,-2.1784907000884814,7.8003582751657285,-5.15,34.0,277146.9547,4686421.293,2.352778,1.44089,277147.195,4686413.794
219,323590,1,-2.30712509128922,8.937483243408188,5.05,36.0,277146.9547,4686421.293,2.352778,1.44089,277147.195,4686413.794
219,323590,2,-2.078522320207871,7.802872837562231,4.5,40.0,277146.9547,4686421.293,2.352778,1.44089,277147.195,4686413.794
219,323600,0,-2.048552991983521,8.38508777086646,-2.25,38.0,277146.9655,4686421.893,2.380556,359.8083,277147.195,4686413.794
219,323600,1,-2.5648697125275888,9.486821424744122,6.4,40.0,277146.9655,4686421.893,2.380556,359.8083,277147.195,4686413.794
219,323610,0,-1.9888544489078062,8.29488752721581,-0.4,38.0,277146.9655,4686421.893,2.377778,359.8083,277147.195,4686413.794
219,323620,0,-2.03905491644529,8.235055152542746,1.5,40.0,277146.9655,4686421.893,2.352778,359.8083,277147.195,4686413.794
219,323660,0,-2.136612406826921,10.080041721605348,1.2,38.0,277146.9563,4686423.161,2.369445,359.0057,277147.195,4686413.794
219,323670,0,-2.1276550888266588,10.019877226641606,1.55,38.0,277146.9563,4686423.161,2.388889,359.0057,277147.195,4686413.794
219,323680,0,-2.2707344306749175,10.56126287023256,5.05,38.0,277146.9359,4686423.817,2.405556,1.19217,277147.195,4686413.794
219,323680,1,-2.497322549583598,11.836824638383922,2.7,40.0,277146.9359,4686423.817,2.405556,1.19217,277147.195,4686413.794
219,323690,0,-2.389876223393544,10.518774833942429,1.85,40.0,277146.9359,4686423.817,2.425,1.19217,277147.195,4686413.794
219,323690,1,-2.415883461367834,11.768504254086224,2.7,40.0,277146.9359,4686423.817,2.425,1.19217,277147.195,4686413.794
219,323690,2,-2.191145751635257,11.54313131466324,-0.8,34.0,277146.9359,4686423.817,2.425,1.19217,277147.195,4686413.794
219,323690,3,-2.145975074553843,10.333809351771635,0.3,38.0,277146.9359,4686423.817,2.425,1.19217,277147.195,4686413.794
219,323700,0,-2.385396069969208,11.058282708451767,-0.7,38.0,277146.9237,4686424.474,2.447222,1.94998,277147.195,4686413.794
219,323700,1,-2.264279505611546,12.203066870570634,-10.1,40.0,277146.9237,4686424.474,2.447222,1.94998,277147.195,4686413.794
219,323700,2,-2.2512228663249907,12.113459258335173,2.7,36.0,277146.9237,4686424.474,2.447222,1.94998,277147.195,4686413.794
219,323700,3,-2.1931242062117295,10.994788374789415,0.25,30.0,277146.9237,4686424.474,2.447222,1.94998,277147.195,4686413.794
219,323710,0,-2.282051278414422,10.961743317224672,-3.5,32.0,277146.9237,4686424.474,2.452778,1.94998,277147.195,4686413.794
219,323710,2,-2.280524953709503,12.092450030007832,-4.6,40.0,277146.9237,4686424.474,2.452778,1.94998,277147.195,4686413.794
219,323710,3,-2.1521265596062005,10.966166827437672,-2.75,40.0,277146.9237,4686424.474,2.452778,1.94998,277147.195,4686413.794
219,323720,0,-2.209709924326072,10.894165743365706,-2.15,36.0,277146.9237,4686424.474,2.469445,1.94998,277147.195,4686413.794
219,323720,2,-2.2964301317910767,11.971838980305934,-1.15,38.0,277146.9237,4686424.474,2.469445,1.94998,277147.195,4686413.794
219,323720,3,-2.1504252095242773,10.916195781742202,0.15,40.0,277146.9237,4686424.474,2.469445,1.94998,277147.195,4686413.794
219,323730,0,-2.1812216391179824,11.52095398172986,-0.5,38.0,277146.9033,4686425.13,2.477778,359.8498,277147.195,4686413.794
219,323730,2,-2.4085207228376393,12.551553383311388,2.95,34.0,277146.9033,4686425.13,2.477778,359.8498,277147.195,4686413.794
219,323740,2,-2.528861103106416,12.421868407786985,3.1,30.0,277146.9033,4686425.13,2.472223,359.8498,277147.195,4686413.794
219,323750,2,-2.7914819306565812,12.917751448465921,2.75,40.0,277146.8829,4686425.787,2.494445,1.74914,277147.195,4686413.794
219,323760,2,-2.98955732985446,12.85167470344469,8.05,40.0,277146.8829,4686425.787,2.541667,1.74914,277147.195,4686413.794
219,323770,0,-2.291332253068889,12.592866391855235,-0.7,38.0,277146.8829,4686425.787,2.541667,1.74914,277147.195,4686413.794
219,323770,2,-3.1957966589208273,12.72532068037358,4.8,18.0,277146.8829,4686425.787,2.541667,1.74914,277147.195,4686413.794
219,323780,0,-2.2972595644371827,13.259591061390886,2.2,38.0,277146.8866,4686426.42,2.586111,1.63268,277147.195,4686413.794
219,323790,0,-2.2452854381274596,13.19104406879208,1.55,36.0,277146.8866,4686426.42,2.544445,1.63268,277147.195,4686413.794
219,323800,0,-2.1862856326094926,13.805422968104988,-0.6,38.0,277146.8586,4686427.099,2.563889,359.9869,277147.195,4686413.794
219,323810,0,-2.2663016351875784,13.735441260985029,5.15,38.0,277146.8586,4686427.099,2.563889,359.9869,277147.195,4686413.794
219,323820,0,-2.3463130650030632,13.685459553342314,2.4,34.0,277146.8586,4686427.099,2.563889,359.9869,277147.195,4686413.794
219,323830,0,-2.490789310302106,14.364188391942356,2.9,28.0,277146.8307,4686427.778,2.588889,359.4565,277147.195,4686413.794
219,323840,0,-2.5515454686517027,14.284761134513946,1.5,32.0,277146.8307,4686427.778,2.658334,359.4565,277147.195,4686413.794
219,323850,0,-2.5725545168277946,14.828442935593497,0.09999999,28.0,277146.8443,4686428.467,2.647223,0.63352,277147.195,4686413.794
219,323850,1,-2.322459231009743,14.821207743019174,-0.45,38.0,277146.8443,4686428.467,2.647223,0.63352,277147.195,4686413.794
219,323860,0,-2.641333991556419,14.717675684765219,2.35,26.0,277146.8443,4686428.467,2.616667,0.63352,277147.195,4686413.794
219,323860,1,-2.351130583017023,14.700883374855136,1.05,36.0,277146.8443,4686428.467,2.616667,0.63352,277147.195,4686413.794
219,323870,0,-2.569679752837443,14.568458828902338,3.05,40.0,277146.8443,4686428.467,2.608334,0.63352,277147.195,4686413.794
219,323870,1,-2.48023809359634,14.619450883108836,2.5,28.0,277146.8443,4686428.467,2.608334,0.63352,277147.195,4686413.794
219,323870,2,-1.5397707200894892,18.20006830463953,-0.9,40.0,277146.8443,4686428.467,2.608334,0.63352,277147.195,4686413.794
219,323880,0,-2.603628457765374,15.04309652981396,0.4,40.0,277146.8992,4686429.154,2.65,2.64661,277147.195,4686413.794
