Driver,Trip,Time,ScanIndex,TargetId,X,Y,RangeRate,SNR
229,219,300585,150249,0,0.79,3.87,-0.15,18
229,219,300586,150250,0,-0.94,4.76,8.75,18
229,219,300589,150251,0,-0.94,4.77,7.05,40
229,219,300590,150252,0,-0.93,4.83,3.75,40
229,219,300593,150253,0,-1,4.92,8.849999,40
229,219,300609,150261,0,-0.48,3.7,-4.4,22
229,219,300610,150262,0,-0.48,3.7,-3.4,40
229,219,300613,150263,0,-0.48,3.71,-1.4,22
229,219,300614,150264,0,-0.48,3.72,3.05,40
229,219,300617,150265,0,-0.48,3.71,-1.8,40
229,219,300618,150266,0,-0.48,3.7,-1.8,40
229,219,300622,150268,0,0.5,3.44,-0.65,10
229,219,300625,150269,0,0.49,3.43,-0.65,18
229,219,300626,150270,0,-0.51,4.03,3.75,24
229,219,300629,150271,0,-0.58,4.05,2.85,40
229,219,300630,150272,0,-0.52,4,-0.15,20
229,219,300633,150273,0,-0.52,3.99,-6.8,40
229,219,300634,150274,0,-0.58,4.03,-6.65,14
229,219,300637,150275,0,-0.64,4.06,-4.8,40
229,219,300638,150276,0,-0.66,3.98,-6.6,20
229,219,300641,150277,0,-0.68,3.91,-10.15,40
229,219,300662,150288,0,-1.19,3.84,-3.35,18
229,219,300665,150289,0,-1.14,3.8,-2.55,18
229,219,300666,150290,0,-1.08,3.75,-1.7,22
229,219,300669,150291,0,-1.03,3.69,-1.05,22
229,219,300670,150292,0,-0.92,3.66,1.75,12
229,219,300673,150293,0,-0.87,3.64,8.2,40
229,219,300674,150294,0,-0.74,3.65,7.95,18
229,219,300677,150295,0,-0.68,3.67,6.35,40
229,219,300678,150296,0,-0.61,3.68,3.6,40
229,219,300681,150297,0,-0.58,3.79,6.05,14
229,219,300682,150298,0,-0.56,3.88,11.7,40
229,219,300693,150303,0,-0.91,3.71,-3.1,20
229,219,300694,150304,0,-0.96,3.76,-1.2,22
229,219,300697,150305,0,-0.96,3.76,2.9,40
229,219,300698,150306,0,-1.01,3.86,5.3,22
229,219,300701,150307,0,-1.12,3.94,10.05,40
229,219,300702,150308,0,-1.12,3.94,7.8,24
229,219,300705,150309,0,-1.11,3.97,6.95,24
229,219,300706,150310,0,-1.18,4.01,4,40
229,219,300709,150311,0,-1.17,4.03,4.75,18
229,219,300709,150311,1,-0.81,5.11,0.45,30
229,219,300710,150312,0,-1.17,4.06,6.1,40
229,219,300710,150312,1,-0.81,5.11,0.35,32
229,219,300713,150313,0,-1.23,4.1,5.25,18
229,219,300713,150313,1,-0.82,5.07,-0.55,30
229,219,300714,150314,0,-1.23,4.12,3.85,20
