trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,347141,1,1.4421532454301464,0.46248677461663285,-0.09999999,28.0,277154.6066,4686408.634,1.136111,137.9009,277154.6066,4686408.634
219,347150,0,3.9755168949294513,-0.5844822453286548,0.25,22.0,277154.4871,4686408.771,1.372222,128.4201,277154.6066,4686408.634
219,347150,1,1.3791341392032084,0.35562231575346004,0.0,36.0,277154.4871,4686408.771,1.372222,128.4201,277154.6066,4686408.634
219,347161,0,3.9614679131894732,-0.582861716998218,-0.05,24.0,277154.4871,4686408.771,1.694445,128.4201,277154.6066,4686408.634
219,347161,1,1.6106678469815925,0.4499204714214986,0.05,38.0,277154.4871,4686408.771,1.694445,128.4201,277154.6066,4686408.634
219,347170,0,3.889996803093995,-0.8466172681778221,2.65,40.0,277154.41,4686408.94,1.980556,121.5396,277154.6066,4686408.634
219,347170,1,1.572348687248731,0.4061026570723907,0.45,32.0,277154.41,4686408.94,1.980556,121.5396,277154.6066,4686408.634
219,347181,1,1.60314792974276,0.4132725009893812,0.35,38.0,277154.41,4686408.94,2.083333,121.5396,277154.6066,4686408.634
219,347190,1,1.656223626374308,0.422381311398862,0.75,28.0,277154.41,4686408.94,2.313889,121.5396,277154.6066,4686408.634
219,347201,1,-1.1271210515897292,-1.0825213790156392,1.3,32.0,277154.3955,4686409.263,2.472223,359.465,277154.6066,4686408.634
219,347210,1,-1.1480539172859054,-1.182330272075055,1.4,26.0,277154.3955,4686409.263,2.569445,359.465,277154.6066,4686408.634
219,347221,1,-1.2661854609881096,-0.7926607883118704,2.05,22.0,277154.3365,4686409.743,2.630556,358.3228,277154.6066,4686408.634
219,347230,1,-0.9283354833602763,-1.2127291072992383,2.8,18.0,277154.3365,4686409.743,2.788889,358.3228,277154.6066,4686408.634
219,347241,1,-0.9730013039008455,-1.371489821820929,2.8,20.0,277154.3365,4686409.743,2.875,358.3228,277154.6066,4686408.634
