Driver,Trip,Time,ScanIndex,TargetId,X,Y,RangeRate,SNR
229,219,298764,74670,0,-4.04,0.24,-0.09999999,40
229,219,298764,74670,1,-3.68,0.65,1,22
229,219,298764,74670,3,-3.26,0.01,0,26
229,219,298768,74671,0,-4.04,0.28,-0.15,18
229,219,298768,74671,1,-3.71,0.63,1,20
229,219,298768,74671,3,-3.27,0.01,0,24
229,219,298772,74672,0,-4.07,0.28,0.65,20
229,219,298772,74672,1,-3.73,0.57,0.95,22
229,219,298772,74672,3,-3.27,0.01,0,24
229,219,298776,74673,0,-4.08,0.31,0.35,20
229,219,298776,74673,1,-3.75,0.54,0.9,40
229,219,298776,74673,3,-3.27,0.01,0,24
229,219,298780,74674,0,-4.08,0.31,0.09999999,22
229,219,298780,74674,1,-3.75,0.5,0.35,18
229,219,298780,74674,3,-3.27,0.01,0,26
229,219,298784,74675,0,-4.08,0.35,-0.35,40
229,219,298784,74675,1,-3.75,0.47,-0.75,40
229,219,298784,74675,3,-3.27,0.01,-0.05,22
229,219,298788,74676,0,-4.08,0.35,-0.3,20
229,219,298788,74676,1,-3.77,0.44,0.8,40
229,219,298788,74676,3,-3.27,0.01,0,24
229,219,298792,74677,0,-4.07,0.35,-0.35,20
229,219,298792,74677,1,-3.78,0.41,1,16
229,219,298792,74677,3,-3.27,0.01,0,24
229,219,298796,74678,0,-4.07,0.39,-0.4,40
229,219,298796,74678,1,-3.8,0.34,1.45,40
229,219,298796,74678,3,-3.27,0.01,0,24
229,219,298800,74679,0,-4.06,0.39,0.09999999,40
229,219,298800,74679,1,-3.85,0.31,2.4,20
229,219,298800,74679,3,-3.27,0.01,0,26
229,219,298804,74680,0,-4.06,0.39,-0.09999999,22
229,219,298804,74680,3,-3.26,0.01,0,24
229,219,298808,74681,0,-4.05,0.42,-0.5,40
229,219,298808,74681,3,-3.26,0.01,0,24
229,219,298812,74682,0,-4.04,0.42,-0.65,22
229,219,298812,74682,3,-3.27,0.01,0,26
229,219,298816,74683,0,-4.03,0.46,-0.35,20
229,219,298816,74683,3,-3.27,0.01,0.15,22
229,219,298820,74684,0,-4.03,0.46,0.25,40
229,219,298820,74684,3,-3.28,0.01,0.09999999,26
229,219,298824,74685,0,-4.02,0.5,0.2,20
229,219,298824,74685,1,-3.47,0.88,-1,22
229,219,298824,74685,3,-3.27,0.01,0,24
229,219,298828,74686,0,-4.02,0.5,0.05,22
229,219,298828,74686,1,-3.5,0.86,-0.2,22
229,219,298828,74686,3,-3.27,0.01,0,22
229,219,298832,74687,0,-4.01,0.5,0,20
229,219,298832,74687,1,-3.52,0.87,0.35,24
229,219,298832,74687,3,-3.27,0.01,-0.05,24
229,219,298836,74688,0,-4,0.5,-0.05,22
229,219,298836,74688,1,-3.57,0.82,0.5,22
229,219,298836,74688,3,-3.26,0.01,-0.05,24
229,219,298840,74689,0,-4,0.5,-0.2,40
229,219,298840,74689,1,-3.59,0.79,0.55,24
229,219,298840,74689,3,-3.26,0.01,-0.05,26
229,219,298844,74690,0,-4,0.5,-0.09999999,40
229,219,298844,74690,1,-3.59,0.79,0,24
229,219,298844,74690,3,-3.26,0.02,-0.05,26
229,219,298848,74691,0,-4,0.5,0.05,20
229,219,298848,74691,1,-3.57,0.76,-0.35,20
229,219,298848,74691,3,-3.25,0.02,-0.09999999,22
229,219,298852,74692,0,-4.01,0.46,0.05,20
229,219,298852,74692,1,-3.57,0.76,0,24
229,219,298852,74692,3,-3.25,0.02,0,24
229,219,298856,74693,0,-4,0.46,0.05,20
229,219,298856,74693,1,-3.55,0.75,-0.45,22
229,219,298856,74693,3,-3.26,0.02,0,22
229,219,298860,74694,0,-4,0.46,0.05,40
229,219,298860,74694,1,-3.53,0.74,-0.75,22
229,219,298860,74694,3,-3.26,0.02,0,24
229,219,298864,74695,0,-4,0.42,0,40
229,219,298864,74695,1,-3.53,0.74,-0.2,24
229,219,298864,74695,3,-3.26,0.02,0,24
229,219,298868,74696,0,-4,0.42,0,20
229,219,298868,74696,1,-3.54,0.75,0.05,16
229,219,298868,74696,3,-3.26,0.02,0,26
229,219,298872,74697,0,-4,0.42,0,20
229,219,298872,74697,1,-3.56,0.72,0.2,22
229,219,298872,74697,3,-3.25,0.02,0,24
229,219,298876,74698,0,-4,0.38,0,20
229,219,298876,74698,1,-3.55,0.72,0,22
229,219,298876,74698,3,-3.25,0.02,-0.09999999,40
229,219,298880,74699,0,-4,0.38,0.15,40
229,219,298880,74699,1,-3.55,0.72,-0.15,24
229,219,298880,74699,3,-3.25,0.02,0,24
229,219,298884,74700,0,-4,0.35,0.09999999,20
229,219,298884,74700,1,-3.53,0.71,-0.45,20
229,219,298884,74700,3,-3.25,0.02,0,22
229,219,298888,74701,0,-4.01,0.35,0.3,20
229,219,298888,74701,1,-3.53,0.71,-0.05,22
229,219,298888,74701,3,-3.26,0.02,0,24
229,219,298892,74702,0,-4.03,0.35,0.6,16
229,219,298892,74702,1,-3.54,0.72,0.25,24
229,219,298892,74702,3,-3.26,0.01,0.05,26
229,219,298896,74703,0,-4.04,0.31,0.5,18
229,219,298896,74703,1,-3.56,0.72,0.4,24
229,219,298896,74703,3,-3.27,0.01,0.05,22
229,219,298900,74704,0,-4.05,0.31,0.65,20
229,219,298900,74704,1,-3.56,0.72,0.15,24
229,219,298900,74704,3,-3.27,0.01,0.05,22
229,219,298904,74705,0,-4.06,0.31,0.35,22
229,219,298904,74705,1,-3.55,0.72,-0.05,22
229,219,298904,74705,3,-3.27,0.01,0.05,22
229,219,298908,74706,0,-4.06,0.28,0.15,20
229,219,298908,74706,1,-3.54,0.72,-0.2,22
229,219,298908,74706,3,-3.27,0.01,0.09999999,26
229,219,298912,74707,0,-4.06,0.28,0.25,22
229,219,298912,74707,1,-3.54,0.72,0,22
229,219,298912,74707,3,-3.27,0.01,0.09999999,26
229,219,298916,74708,0,-4.06,0.24,0.09999999,22
229,219,298916,74708,1,-3.53,0.71,-0.2,24
229,219,298916,74708,3,-3.28,0.01,0.05,22
229,219,298920,74709,0,-4.06,0.24,-0.15,40
229,219,298920,74709,1,-3.52,0.71,-0.3,22
229,219,298920,74709,3,-3.28,0.04,0.05,22
229,219,298924,74710,0,-4.06,0.24,-0.25,22
229,219,298924,74710,1,-3.52,0.74,0.05,20
229,219,298924,74710,3,-3.28,0.04,0.09999999,24
229,219,298928,74711,0,-4.06,0.21,-0.15,20
229,219,298928,74711,1,-3.52,0.74,-0.09999999,20
229,219,298928,74711,3,-3.29,0.04,0.25,22
229,219,298932,74712,0,-4.06,0.21,0,40
229,219,298932,74712,1,-3.54,0.75,0.55,22
229,219,298932,74712,3,-3.29,0.04,0.15,22
229,219,298936,74713,0,-4.06,0.21,0.09999999,40
229,219,298936,74713,1,-3.56,0.75,0.55,22
229,219,298936,74713,3,-3.28,0.01,0.05,22
229,219,298940,74714,0,-4.07,0.21,0.3,20
229,219,298940,74714,1,-3.55,0.75,0,22
229,219,298940,74714,3,-3.28,0.01,0.05,24
229,219,298944,74715,0,-4.08,0.17,0.35,20
229,219,298944,74715,1,-3.56,0.75,0.25,22
229,219,298944,74715,3,-3.28,0.01,0.05,40
229,219,298948,74716,0,-4.09,0.17,0.45,20
229,219,298948,74716,1,-3.57,0.76,0.4,18
229,219,298948,74716,3,-3.28,0.01,0,22
229,219,298952,74717,0,-4.11,0.17,0.55,24
229,219,298952,74717,1,-3.59,0.73,0.75,40
229,219,298952,74717,3,-3.28,0.01,0,22
229,219,298956,74718,0,-4.12,0.16,0.65,40
229,219,298956,74718,1,-3.59,0.73,0.25,40
229,219,298956,74718,3,-3.29,0.03,0.05,22
229,219,298960,74719,0,-4.13,0.16,0.6,22
229,219,298960,74719,1,-3.6,0.73,0.4,28
229,219,298960,74719,3,-3.3,0.03,0.15,40
229,219,298964,74720,0,-4.14,0.16,0.55,22
