trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,323190,2,-13.22578085564896,-5.506652409436198,-2.3,26.0,277147.195,4686413.794,1.208333,288.522,277147.195,4686413.794
219,323190,3,-13.444924256817721,-4.884015942688398,1.7,40.0,277147.195,4686413.794,1.208333,288.522,277147.195,4686413.794
219,323210,0,-2.9033707357516234,-0.3103962419789027,1.4,22.0,277147.21,4686414.004,1.383333,292.9748,277147.195,4686413.794
219,323210,2,-13.051570500434742,-6.220298232374807,0.4,26.0,277147.21,4686414.004,1.383333,292.9748,277147.195,4686413.794
219,323210,3,-13.45649407195493,-5.675103862239411,3.2,26.0,277147.21,4686414.004,1.383333,292.9748,277147.195,4686413.794
219,323230,0,-0.8249968327350388,-2.5344142535625265,1.45,32.0,277147.1944,4686414.294,1.530556,357.2899,277147.195,4686413.794
219,323230,2,-0.5367778301270782,-14.21110170362882,0.95,24.0,277147.1944,4686414.294,1.530556,357.2899,277147.195,4686413.794
219,323230,3,-0.9862150464242753,-14.400062515986912,2.2,30.0,277147.1944,4686414.294,1.530556,357.2899,277147.195,4686413.794
219,323250,0,-0.8033159649259803,-2.3136724206616197,1.35,30.0,277147.1978,4686414.661,1.569445,357.7389,277147.195,4686413.794
219,323250,2,-0.6490831076162881,-13.868754083104605,1.0,24.0,277147.1978,4686414.661,1.569445,357.7389,277147.195,4686413.794
219,323250,3,-0.8703610892477881,-14.150243079061994,1.65,26.0,277147.1978,4686414.661,1.569445,357.7389,277147.195,4686413.794
219,323270,0,-0.7996362943630251,-2.4739423804936123,1.5,28.0,277147.1978,4686414.661,1.641667,357.7389,277147.195,4686413.794
219,323270,2,-0.8687829533594448,-14.110274222597017,3.3,28.0,277147.1978,4686414.661,1.641667,357.7389,277147.195,4686413.794
219,323270,3,-1.0953187414422099,-14.271462115187393,1.7,40.0,277147.1978,4686414.661,1.641667,357.7389,277147.195,4686413.794
219,323290,0,-0.568756866212892,-2.2485028384229935,1.7,28.0,277147.1954,4686415.105,1.611111,1.78895,277147.195,4686413.794
219,323290,2,0.4183767440781857,-13.993410979206118,2.7,24.0,277147.1954,4686415.105,1.611111,1.78895,277147.195,4686413.794
219,323310,0,-0.8692862067604665,-1.902855764021408,1.6,22.0,277147.1769,4686415.562,1.644445,357.0324,277147.195,4686413.794
219,323310,2,-0.8720402468054576,-13.738585247887766,2.2,26.0,277147.1769,4686415.562,1.644445,357.0324,277147.195,4686413.794
219,323330,0,-0.9093870355918335,-1.6450262271307272,1.8,40.0,277147.1581,4686416.007,1.711111,356.8622,277147.195,4686413.794
219,323330,2,-1.1758600695055461,-13.448135653133559,1.2,22.0,277147.1581,4686416.007,1.711111,356.8622,277147.195,4686413.794
219,323350,0,-0.7590696163074699,-1.387371416115795,1.65,22.0,277147.1396,4686416.463,1.775,358.8202,277147.195,4686413.794
