trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,335130,2,2.2284610290501514,3.727368023956798,-0.05,40.0,277148.4692,4686472.067,1.202778,137.4997,277148.4601,4686472.301
219,335150,2,-0.8093133498539564,3.995627085835576,0.55,40.0,277148.4768,4686471.789,1.519445,177.6519,277148.4601,4686472.301
219,335350,0,-0.09578944513191884,0.6550857801340362,5.45,40.0,277148.6613,4686467.726,3.577778,178.4319,277148.4601,4686472.301
219,335370,0,-0.3206487662085613,1.211447430254668,3.85,20.0,277148.6613,4686467.726,3.813889,178.4319,277148.4601,4686472.301
219,335390,0,-0.18993932077469222,0.876283945680222,6.65,14.0,277148.6685,4686466.914,4.205556,178.4281,277148.4601,4686472.301
219,335390,1,0.2311208208356486,0.5446088680107071,5.6,24.0,277148.6685,4686466.914,4.205556,178.4281,277148.4601,4686472.301
219,335410,1,-0.06581084266066511,0.3945026739683568,8.099999,40.0,277148.6647,4686466.014,4.363889,177.1697,277148.4601,4686472.301
219,335610,0,-1.7564053971655058,-10.158644603131965,4.45,28.0,277148.5299,4686456.581,5.800001,179.3415,277148.4601,4686472.301
219,335630,0,-1.8028234478723957,-10.975290806141835,5.25,24.0,277148.5023,4686455.192,5.994445,179.5794,277148.4601,4686472.301
219,335630,1,-1.8310283349128424,-13.455150577247256,1.8,24.0,277148.5023,4686455.192,5.994445,179.5794,277148.4601,4686472.301
219,335650,0,-1.9437421058019533,-11.87553962446123,5.2,22.0,277148.465,4686453.759,6.086112,181.0171,277148.4601,4686472.301
219,335650,1,-2.0752540299492166,-14.608304637009342,2.45,26.0,277148.465,4686453.759,6.086112,181.0171,277148.4601,4686472.301
219,335670,0,-1.921488841096339,-12.739775742245339,5.6,40.0,277148.4013,4686452.272,6.08889,180.3353,277148.4601,4686472.301
219,335670,1,-2.096153202028044,-15.3608427694349,4.75,24.0,277148.4013,4686452.272,6.08889,180.3353,277148.4601,4686472.301
219,335670,2,-2.1176158734543904,-15.110964091402451,7.65,22.0,277148.4013,4686452.272,6.08889,180.3353,277148.4601,4686472.301
219,335670,3,-2.094989977187023,-13.850810105249131,5.75,22.0,277148.4013,4686452.272,6.08889,180.3353,277148.4601,4686472.301
219,335690,0,-1.8955857937045626,-12.03961216697466,6.4,22.0,277148.4013,4686452.272,6.180556,180.3353,277148.4601,4686472.301
219,335690,1,-1.9801931751886221,-14.670152337927846,5.45,40.0,277148.4013,4686452.272,6.180556,180.3353,277148.4601,4686472.301
219,335690,2,-2.2397205586520763,-14.751672502504555,1.4,30.0,277148.4013,4686452.272,6.180556,180.3353,277148.4601,4686472.301
219,335690,3,-1.98897125855757,-13.170178023063631,5.7,22.0,277148.4013,4686452.272,6.180556,180.3353,277148.4601,4686472.301
219,335710,0,-2.007176092590435,-12.938254163272033,6.1,22.0,277148.3529,4686450.75,6.197223,180.5315,277148.4601,4686472.301
219,335710,1,-1.922782026351672,-15.567584428108251,5.65,24.0,277148.3529,4686450.75,6.197223,180.5315,277148.4601,4686472.301
219,335710,2,-2.339610016291598,-15.911465841974486,3.4,40.0,277148.3529,4686450.75,6.197223,180.5315,277148.4601,4686472.301
219,335730,0,-2.278456298358606,-14.033920964636623,5.3,18.0,277148.287,4686449.196,6.227778,181.1052,277148.4601,4686472.301
219,335730,1,-1.8518495892197206,-16.446141252196966,5.8,32.0,277148.287,4686449.196,6.227778,181.1052,277148.4601,4686472.301
219,335730,2,-2.290610443164473,-16.51461689053404,9.05,26.0,277148.287,4686449.196,6.227778,181.1052,277148.4601,4686472.301
219,335750,0,-2.3218837527161473,-14.925953092581247,7.7,40.0,277148.2459,4686447.641,6.202778,180.1629,277148.4601,4686472.301
219,335750,2,-1.9347490133931735,-17.43486255559687,6.2,24.0,277148.2459,4686447.641,6.202778,180.1629,277148.4601,4686472.301
219,335770,0,-2.124281005898682,-19.88790484509284,9.3,16.0,277148.2366,4686446.052,6.144445,179.3755,277148.4601,4686472.301
219,335770,2,-1.6774125315144506,-18.34268364196317,5.0,40.0,277148.2366,4686446.052,6.144445,179.3755,277148.4601,4686472.301
219,335790,0,-1.8733958964952322,-18.89058009262772,9.349999,40.0,277148.2366,4686446.052,6.266667,179.3755,277148.4601,4686472.301
219,335790,2,-1.800865190314339,-17.74130236437362,6.0,24.0,277148.2366,4686446.052,6.266667,179.3755,277148.4601,4686472.301
219,335810,2,-1.8892040733563056,-18.636951542128273,6.45,18.0,277148.212,4686444.497,5.961112,179.7568,277148.4601,4686472.301
219,335830,0,-1.9174654878254607,-22.753032395775648,4.65,24.0,277148.179,4686442.942,5.936112,180.1419,277148.4601,4686472.301
219,335830,2,-1.8151433461744988,-19.652769474775564,5.25,24.0,277148.179,4686442.942,5.936112,180.1419,277148.4601,4686472.301
219,335850,0,-1.8940041836846175,-23.698505832465887,5.55,28.0,277148.1393,4686441.431,5.916667,179.9457,277148.4601,4686472.301
219,335850,2,-1.7411326787115604,-20.668649350226627,4.7,24.0,277148.1393,4686441.431,5.916667,179.9457,277148.4601,4686472.301
219,335870,0,-1.9810828012655541,-24.64227047628809,5.55,26.0,277148.0992,4686439.909,5.797223,180.7397,277148.4601,4686472.301
219,335870,1,-3.006466599497564,-26.55566747281633,3.8,26.0,277148.0992,4686439.909,5.797223,180.7397,277148.4601,4686472.301
219,335870,2,-2.0098131601676235,-21.642391384311654,5.95,26.0,277148.0992,4686439.909,5.797223,180.7397,277148.4601,4686472.301
219,335890,0,-1.9881832142825504,-24.092316310802467,5.2,24.0,277148.0992,4686439.909,5.761112,180.7397,277148.4601,4686472.301
219,335890,1,-3.02382437599674,-25.98584407245881,4.45,24.0,277148.0992,4686439.909,5.761112,180.7397,277148.4601,4686472.301
219,335890,2,-2.2775373980521008,-21.045797944480828,5.95,20.0,277148.0992,4686439.909,5.761112,180.7397,277148.4601,4686472.301
219,335910,0,-2.09554967515655,-24.961401804339992,5.9,22.0,277148.0859,4686438.454,5.733334,179.8152,277148.4601,4686472.301
219,335910,1,-2.811448396137903,-26.789102277967242,5.35,40.0,277148.0859,4686438.454,5.733334,179.8152,277148.4601,4686472.301
219,335910,2,-2.1956794926237184,-21.90106293100358,5.8,40.0,277148.0859,4686438.454,5.733334,179.8152,277148.4601,4686472.301
219,335930,0,-1.933297559689156,-25.823985111393874,5.35,24.0,277148.0888,4686436.986,5.669445,178.9237,277148.4601,4686472.301
219,335930,1,-2.5245678269981733,-27.483171499656606,6.3,24.0,277148.0888,4686436.986,5.669445,178.9237,277148.4601,4686472.301
219,335950,0,-1.9429599922268546,-26.69658511677378,5.4,22.0,277148.1092,4686435.552,5.638889,178.5839,277148.4601,4686472.301
219,335950,1,-2.1707129930707456,-28.2214223443514,5.95,40.0,277148.1092,4686435.552,5.638889,178.5839,277148.4601,4686472.301
219,335970,0,-1.9309328248036814,-27.579962922506972,5.5,40.0,277148.1465,4686434.128,5.58889,177.4338,277148.4601,4686472.301
219,335990,0,-2.0275301771323497,-27.055111561145402,5.25,26.0,277148.1465,4686434.128,5.450001,177.4338,277148.4601,4686472.301
219,336010,0,-2.3323432147000736,-27.949437748873283,5.35,20.0,277148.1687,4686432.749,5.375,178.6189,277148.4601,4686472.301
219,336030,0,0.08892405694922273,-38.458451436555414,0.4,18.0,277148.1823,4686431.359,5.219445,178.9235,277148.4601,4686472.301
219,336050,0,0.13326033475027715,-39.73187559148405,0.7,18.0,277148.1726,4686430.014,5.344445,179.3109,277148.4601,4686472.301
219,336070,0,0.17132523660915133,-41.01312695068366,0.75,40.0,277148.1707,4686428.658,5.222223,179.9842,277148.4601,4686472.301
219,336070,1,-3.1378197752800907,-37.91221429627229,5.65,24.0,277148.1707,4686428.658,5.222223,179.9842,277148.4601,4686472.301
219,336090,1,-3.317703948388374,-37.49216467507838,6.05,22.0,277148.1707,4686428.658,5.191667,179.9842,277148.4601,4686472.301
219,336110,1,-3.2347873919630046,-37.94744432340874,5.35,22.0,277148.0868,4686427.316,5.161112,179.8492,277148.4601,4686472.301
219,336130,1,-3.0576274787029045,-38.82455139647417,3.85,24.0,277148.0112,4686425.973,5.047223,181.2835,277148.4601,4686472.301
219,336150,1,-2.5067270746182326,-39.50631771678184,4.25,22.0,277147.9627,4686424.707,4.925001,179.7826,277148.4601,4686472.301
219,336170,1,-2.40479268275884,-38.996700821696656,4.8,22.0,277147.9627,4686424.707,4.83889,179.7826,277148.4601,4686472.301
219,336190,0,-2.621010461733818,-43.61887437460544,1.65,24.0,277147.9142,4686423.442,4.780556,180.2743,277148.4601,4686472.301
219,336210,0,-2.7828947808642717,-44.21157323599007,8.349999,24.0,277147.8503,4686422.21,4.544445,181.0983,277148.4601,4686472.301
219,336210,1,-2.7924106662691104,-45.802047834317555,4.65,26.0,277147.8503,4686422.21,4.544445,181.0983,277148.4601,4686472.301
219,336230,0,-2.5423659449425378,-45.138200773376255,0.05,40.0,277147.8276,4686420.977,4.133334,177.8555,277148.4601,4686472.301
219,336230,1,-2.5975265942151236,-46.076794030741674,6.75,40.0,277147.8276,4686420.977,4.133334,177.8555,277148.4601,4686472.301
219,336250,0,-3.077108208498963,-46.036050682234446,7.3,22.0,277147.7988,4686419.81,3.352778,180.8481,277148.4601,4686472.301
219,336270,0,-3.0324422608500763,-45.67535004026021,3.75,28.0,277147.7988,4686419.81,2.85,180.8481,277148.4601,4686472.301
219,336290,0,-2.556684030141262,-46.19607978287476,3.25,40.0,277147.7578,4686418.778,2.430556,179.4863,277148.4601,4686472.301
219,336310,0,-2.299184325492854,-46.748065848387554,2.0,24.0,277147.7399,4686417.956,1.883334,178.4037,277148.4601,4686472.301
219,336310,1,-2.2682762767685176,-48.86975024822746,2.05,24.0,277147.7399,4686417.956,1.883334,178.4037,277148.4601,4686472.301
219,336310,2,-3.068471404741671,-51.37843272258886,0.0,14.0,277147.7399,4686417.956,1.883334,178.4037,277148.4601,4686472.301
219,336330,0,-2.380399218572491,-47.23463969243699,4.95,40.0,277147.7259,4686417.256,1.352778,179.311,277148.4601,4686472.301
219,336330,1,-2.3061400103637855,-49.37568746630758,2.1,40.0,277147.7259,4686417.256,1.352778,179.311,277148.4601,4686472.301
