Driver,Trip,Time,ScanIndex,TargetId,X,Y,RangeRate,SNR
229,219,298762,149337,0,1.78,-1.71,0.3,30
229,219,298762,149337,1,1.8,-1.32,-0.09999999,32
229,219,298762,149337,2,0.4,-1.7,0,24
229,219,298764,149338,0,1.79,-1.72,0.3,30
229,219,298764,149338,1,1.81,-1.29,-0.25,30
229,219,298764,149338,2,0.4,-1.7,0,24
229,219,298766,149339,0,1.79,-1.72,0.15,30
229,219,298766,149339,1,1.81,-1.29,-0.05,32
229,219,298766,149339,2,0.4,-1.7,0.15,24
229,219,298768,149340,0,1.79,-1.72,0.15,30
229,219,298768,149340,1,1.82,-1.3,0.09999999,32
229,219,298768,149340,2,0.4,-1.7,0.05,24
229,219,298770,149341,0,1.79,-1.73,0.25,28
229,219,298770,149341,1,1.8,-1.32,0.05,32
229,219,298770,149341,2,0.38,-1.7,0,22
229,219,298770,149341,3,1.44,-1.52,-0.6,22
229,219,298772,149342,0,1.79,-1.73,0.05,30
229,219,298772,149342,1,1.81,-1.33,0.15,32
229,219,298772,149342,2,0.38,-1.7,0,24
229,219,298772,149342,3,1.43,-1.51,-0.7,40
229,219,298774,149343,0,1.8,-1.73,0.15,30
229,219,298774,149343,1,1.81,-1.33,0.15,32
229,219,298774,149343,2,0.38,-1.71,0.09999999,24
229,219,298774,149343,3,1.42,-1.5,-0.65,40
229,219,298776,149344,0,1.8,-1.73,0.15,30
229,219,298776,149344,1,1.82,-1.33,0.25,32
229,219,298776,149344,2,0.38,-1.71,0.2,24
229,219,298776,149344,3,1.43,-1.51,0.45,18
229,219,298778,149345,0,1.8,-1.73,0.15,30
229,219,298778,149345,1,1.82,-1.33,0.2,32
229,219,298778,149345,2,0.4,-1.71,0.2,24
229,219,298778,149345,3,1.42,-1.54,3.05,40
229,219,298780,149346,0,1.8,-1.73,0,28
229,219,298780,149346,1,1.81,-1.36,0.09999999,32
229,219,298780,149346,2,0.38,-1.71,0.05,22
229,219,298780,149346,3,1.42,-1.54,0.45,40
229,219,298782,149347,0,1.8,-1.73,0,28
229,219,298782,149347,1,1.81,-1.36,0,32
229,219,298782,149347,2,0.4,-1.72,0.65,22
229,219,298784,149348,0,1.79,-1.73,-0.09999999,28
229,219,298784,149348,1,1.8,-1.36,-0.15,32
229,219,298784,149348,2,0.4,-1.73,0.4,22
229,219,298786,149349,0,1.79,-1.72,-0.09999999,30
229,219,298786,149349,1,1.81,-1.33,-0.15,32
229,219,298786,149349,2,0.4,-1.73,0.2,24
229,219,298788,149350,0,1.79,-1.72,0,30
229,219,298788,149350,1,1.8,-1.32,-0.35,32
229,219,298788,149350,2,0.4,-1.74,0.7,22
229,219,298790,149351,0,1.79,-1.73,0,30
229,219,298790,149351,1,1.79,-1.31,-0.4,32
229,219,298790,149351,2,0.4,-1.75,0.35,24
229,219,298792,149352,0,1.8,-1.73,0.09999999,30
229,219,298792,149352,1,1.8,-1.29,-0.09999999,32
229,219,298792,149352,2,0.4,-1.74,0.05,24
229,219,298794,149353,0,1.8,-1.73,0.09999999,30
229,219,298794,149353,1,1.8,-1.29,-0.05,32
229,219,298794,149353,2,0.4,-1.74,-0.15,24
229,219,298796,149354,0,1.8,-1.73,0.09999999,30
229,219,298796,149354,1,1.79,-1.32,0.09999999,32
229,219,298796,149354,2,0.43,-1.73,-0.15,22
229,219,298798,149355,0,1.81,-1.74,0.09999999,30
229,219,298798,149355,1,1.81,-1.29,0,32
229,219,298798,149355,2,0.43,-1.73,-0.09999999,24
229,219,298800,149356,0,1.79,-1.77,0.09999999,30
229,219,298800,149356,1,1.81,-1.29,0.05,32
229,219,298800,149356,2,0.43,-1.72,-0.25,24
229,219,298802,149357,0,1.79,-1.77,0,30
229,219,298802,149357,1,1.8,-1.32,0.09999999,32
229,219,298802,149357,2,0.43,-1.72,-0.25,20
229,219,298804,149358,0,1.78,-1.76,-0.05,30
229,219,298804,149358,1,1.8,-1.32,0.09999999,32
229,219,298804,149358,2,0.43,-1.73,0.4,22
229,219,298806,149359,0,1.78,-1.76,0,30
229,219,298806,149359,1,1.8,-1.32,0.09999999,32
229,219,298806,149359,2,0.43,-1.73,0.09999999,22
229,219,298808,149360,0,1.79,-1.77,0.05,30
229,219,298808,149360,1,1.8,-1.32,0.15,32
229,219,298808,149360,2,0.43,-1.73,0,26
229,219,298810,149361,0,1.79,-1.77,0.05,30
229,219,298810,149361,1,1.8,-1.32,0.05,32
229,219,298810,149361,2,0.45,-1.74,0.5,20
229,219,298812,149362,0,1.78,-1.76,-0.05,30
229,219,298812,149362,1,1.81,-1.32,0.15,32
229,219,298812,149362,2,0.45,-1.75,0.25,24
229,219,298814,149363,0,1.78,-1.76,-0.09999999,30
229,219,298814,149363,1,1.81,-1.33,0.15,32
229,219,298814,149363,2,0.45,-1.74,0.15,22
229,219,298816,149364,0,1.77,-1.76,-0.09999999,30
229,219,298816,149364,1,1.81,-1.33,0.15,32
229,219,298816,149364,2,0.45,-1.74,-0.15,24
229,219,298818,149365,0,1.77,-1.75,-0.09999999,30
229,219,298818,149365,1,1.81,-1.33,0.15,32
229,219,298818,149365,2,0.45,-1.73,-0.35,24
229,219,298818,149365,3,1.42,-1.5,0,22
229,219,298820,149366,0,1.77,-1.76,0,30
229,219,298820,149366,1,1.81,-1.33,0.05,32
229,219,298820,149366,2,0.45,-1.72,-0.5,22
229,219,298820,149366,3,1.43,-1.51,1.5,40
229,219,298822,149367,0,1.77,-1.75,-0.05,30
229,219,298822,149367,1,1.81,-1.33,-0.09999999,32
229,219,298822,149367,2,0.47,-1.71,-0.3,22
229,219,298822,149367,3,1.43,-1.51,1.35,20
