trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,299230,1,-1.4770776872577078,-0.8701387853701391,-0.15,38.0,277148.0953,4686469.911,1.122222,181.5449,277148.0953,4686469.911
219,299230,3,-1.6422261695484854,-2.1650619409268894,-1.85,30.0,277148.0953,4686469.911,1.122222,181.5449,277148.0953,4686469.911
219,299240,0,-2.2303099077313218,-0.7604062831641403,-4.4,26.0,277148.0953,4686469.911,1.116667,181.5449,277148.0953,4686469.911
219,299240,1,-1.4678901319484092,-0.8398800869936625,0.45,38.0,277148.0953,4686469.911,1.116667,181.5449,277148.0953,4686469.911
219,299240,3,-1.6246598686644609,-2.0745554490423186,-1.75,36.0,277148.0953,4686469.911,1.116667,181.5449,277148.0953,4686469.911
219,299250,1,-1.510613621664355,-1.1330771014622107,0.35,38.0,277148.0948,4686469.633,1.166667,182.069,277148.0953,4686469.911
219,299250,3,-1.6064766740731733,-2.3573361733840263,0.45,30.0,277148.0948,4686469.633,1.166667,182.069,277148.0953,4686469.911
219,299260,1,-1.5705745060840575,-1.135243282342727,0.7,38.0,277148.0948,4686469.633,1.158333,182.069,277148.0953,4686469.911
219,299260,3,-1.617914275396801,-2.3177232805843104,1.05,30.0,277148.0948,4686469.633,1.158333,182.069,277148.0953,4686469.911
219,299270,1,-1.5527537254913395,-1.074560337629519,-0.35,38.0,277148.0948,4686469.633,1.169445,182.069,277148.0953,4686469.911
219,299270,3,-1.7296477142333522,-2.2717272085155042,-0.3,34.0,277148.0948,4686469.633,1.169445,182.069,277148.0953,4686469.911
219,299280,1,-1.5961951167899655,-1.2630774600910943,0.0,38.0,277148.0852,4686469.334,1.191667,179.4961,277148.0953,4686469.911
219,299280,3,-1.7563031066388335,-2.411713795745924,-1.3,36.0,277148.0852,4686469.334,1.191667,179.4961,277148.0953,4686469.911
219,299290,0,-1.5255822018664824,-1.1936957892694071,3.25,38.0,277148.0852,4686469.334,1.225,179.4961,277148.0953,4686469.911
219,299290,1,-1.5853160434497418,-1.163169273423244,-0.9,38.0,277148.0852,4686469.334,1.225,179.4961,277148.0953,4686469.911
219,299290,3,-1.705777364257646,-2.3521558461772067,-1.0,34.0,277148.0852,4686469.334,1.225,179.4961,277148.0953,4686469.911
219,299300,0,-1.781050592225744,-1.7955508757301915,6.05,40.0,277148.0754,4686469.023,1.219445,181.2151,277148.0953,4686469.911
219,299300,1,-1.5880935153308637,-1.4613839017842567,-0.15,38.0,277148.0754,4686469.023,1.219445,181.2151,277148.0953,4686469.911
219,299300,3,-1.7026149461751012,-2.6640828840227004,-0.8,38.0,277148.0754,4686469.023,1.219445,181.2151,277148.0953,4686469.911
