Driver,Trip,Time,ScanIndex,TargetId,X,Y,RangeRate,SNR
229,219,298761,149337,0,-1.99,-1.92,0,24
229,219,298761,149337,1,-2.67,-2.42,0.05,20
229,219,298763,149338,0,-2.02,-1.92,0.05,24
229,219,298763,149338,1,-2.68,-2.43,0.8,22
229,219,298765,149339,0,-1.99,-1.92,0,24
229,219,298765,149339,1,-2.68,-2.43,0.5,18
229,219,298767,149340,0,-1.99,-1.92,0.05,24
229,219,298767,149340,1,-2.68,-2.43,0.25,22
229,219,298769,149341,0,-1.99,-1.93,0.05,24
229,219,298769,149341,1,-2.68,-2.42,-0.09999999,22
229,219,298771,149342,0,-1.99,-1.92,-0.05,22
229,219,298771,149342,1,-2.68,-2.43,0.4,18
229,219,298773,149343,0,-1.99,-1.92,-0.15,22
229,219,298773,149343,1,-2.69,-2.45,0.75,20
229,219,298775,149344,0,-1.99,-1.91,-0.05,22
229,219,298775,149344,1,-2.69,-2.45,0,18
229,219,298777,149345,0,-1.96,-1.92,0,24
229,219,298777,149345,1,-2.69,-2.44,-0.2,22
229,219,298779,149346,0,-1.96,-1.93,0.2,24
229,219,298779,149346,1,-2.68,-2.44,-0.65,40
229,219,298781,149347,0,-1.96,-1.93,0.2,24
229,219,298781,149347,1,-2.68,-2.43,-0.65,20
229,219,298783,149348,0,-1.96,-1.93,0.05,24
229,219,298783,149348,1,-2.68,-2.42,-0.65,22
229,219,298785,149349,0,-1.94,-1.94,0.2,22
229,219,298785,149349,1,-2.68,-2.42,-0.35,22
229,219,298787,149350,0,-1.94,-1.94,0.2,24
229,219,298787,149350,1,-2.72,-2.41,-0.09999999,20
229,219,298789,149351,0,-1.94,-1.95,0.2,24
229,219,298789,149351,1,-2.72,-2.41,-0.09999999,22
229,219,298791,149352,0,-1.94,-1.95,0,26
229,219,298791,149352,1,-2.72,-2.41,-0.2,22
229,219,298793,149353,0,-1.94,-1.95,0.09999999,24
229,219,298793,149353,1,-2.71,-2.4,-0.25,20
229,219,298795,149354,0,-1.94,-1.95,0.25,22
229,219,298795,149354,1,-2.71,-2.4,-0.15,22
229,219,298797,149355,0,-1.94,-1.95,0.05,24
229,219,298797,149355,1,-2.71,-2.4,-0.09999999,20
229,219,298799,149356,0,-1.94,-1.95,0,24
