trip,time,targetid,X,Y,rangerate,SNR,vehicle_East,vehicle_North,vehicle_speed,vehicle_heading,vehicle_East_0,vehicle_North_0
219,377491,0,-3.3630741370597117,-6.832322853601481,0.75,40.0,277147.5334,4686466.25,3.972223,176.4951,277147.7455,4686475.78
219,377491,1,-1.949221753167656,-8.121167854585988,2.2,22.0,277147.5334,4686466.25,3.972223,176.4951,277147.7455,4686475.78
219,377500,0,-3.6322844776107677,-8.18227661462658,0.4,40.0,277147.5274,4686465.283,3.994445,180.5941,277147.7455,4686475.78
219,377500,1,-2.373434493481577,-9.029269363980399,5.85,40.0,277147.5274,4686465.283,3.994445,180.5941,277147.7455,4686475.78
219,377511,0,-3.740204801217417,-8.383406432785492,3.0,22.0,277147.5274,4686465.283,4.038889,180.5941,277147.7455,4686475.78
219,377551,0,-2.1040861139270417,-11.386662139468788,-0.45,24.0,277147.4879,4686463.261,4.166667,179.3094,277147.7455,4686475.78
219,377551,1,-3.4320470015469065,-8.72046261937434,2.35,40.0,277147.4879,4686463.261,4.166667,179.3094,277147.7455,4686475.78
219,377560,0,-2.2034762023823724,-11.335460476245398,1.8,38.0,277147.4879,4686463.261,4.194445,179.3094,277147.7455,4686475.78
219,377571,0,-2.2517851571339706,-11.194867998172038,0.35,40.0,277147.4879,4686463.261,4.2,179.3094,277147.7455,4686475.78
219,377580,0,-2.382883419793438,-12.195398489502296,-0.5,38.0,277147.4544,4686462.206,4.241667,181.6986,277147.7455,4686475.78
219,377580,1,-1.9651429016332205,-12.112979684080031,-3.05,36.0,277147.4544,4686462.206,4.241667,181.6986,277147.7455,4686475.78
219,377591,0,-2.326170384935545,-12.083668315971563,-4.0,40.0,277147.4544,4686462.206,4.288889,181.6986,277147.7455,4686475.78
219,377591,1,-2.0968642868580334,-12.056859485626566,1.3,38.0,277147.4544,4686462.206,4.288889,181.6986,277147.7455,4686475.78
219,377600,0,-2.2564024762072683,-13.001136617907871,-1.2,32.0,277147.4209,4686461.151,4.322223,180.0634,277147.7455,4686475.78
219,377600,1,-2.0863693841280386,-13.030948487993061,-0.3,38.0,277147.4209,4686461.151,4.322223,180.0634,277147.7455,4686475.78
219,377611,0,-2.266557385477922,-12.861147769003024,0.55,36.0,277147.4209,4686461.151,4.341667,180.0634,277147.7455,4686475.78
